Time [ms]:	File:	Number of lines:
186	o0193b.lode-7.txt	44513
231	o0193b.lode-8.txt	53973
348	o0194b.lode-1.txt	87787
517	o0194b.lode-2.txt	113926
597	o0194b.lode-3.txt	153548
952	o0194b.lode-4.txt	256038
595	o0194b.lode-5.txt	153614
148	o0194b.lode-6.txt	34418
114	o0194b.lode-7.txt	26559
156	o0194b.lode-8.txt	35610
381	o0195b.lode-1.txt	93936
468	o0195b.lode-2.txt	120333
631	o0195b.lode-3.txt	166399
1028	o0195b.lode-4.txt	275067
672	o0195b.lode-5.txt	179411
172	o0195b.lode-6.txt	40414
114	o0195b.lode-7.txt	25546
126	o0195b.lode-8.txt	29182
345	o0196a.lode-1.txt	83016
447	o0196a.lode-2.txt	111760
521	o0196a.lode-3.txt	130028
691	o0196a.lode-4.txt	179376
456	o0196a.lode-5.txt	114768
143	o0196a.lode-6.txt	33755
135	o0196a.lode-7.txt	28996
163	o0196a.lode-8.txt	39083
423	o0196b.lode-1.txt	80523
433	o0196b.lode-2.txt	106951
534	o0196b.lode-3.txt	129441
710	o0196b.lode-4.txt	185794
460	o0196b.lode-5.txt	116288
141	o0196b.lode-6.txt	31850
128	o0196b.lode-7.txt	25992
125	o0196b.lode-8.txt	31451
312	o0197a.lode-1.txt	76037
418	o0197a.lode-2.txt	105801
643	o0197a.lode-3.txt	168060
1535	o0197a.lode-4.txt	411713
950	o0197a.lode-5.txt	256311
183	o0197a.lode-6.txt	42489
122	o0197a.lode-7.txt	26224
297	o0197a.lode-8.txt	41289
236	o0198a.lode-1.txt	55105
332	o0198a.lode-2.txt	76593
427	o0198a.lode-3.txt	107574
893	o0198a.lode-4.txt	235198
610	o0198a.lode-5.txt	145123
135	o0198a.lode-6.txt	29864
110	o0198a.lode-7.txt	23022
154	o0198a.lode-8.txt	35946
224	o0199a.lode-1.txt	51729
357	o0199a.lode-2.txt	64867
302	o0199a.lode-3.txt	72878
464	o0199a.lode-4.txt	114276
329	o0199a.lode-5.txt	79592
118	o0199a.lode-6.txt	29680
122	o0199a.lode-7.txt	25712
136	o0199a.lode-8.txt	32582
218	o0200a.lode-1.txt	50970
297	o0200a.lode-2.txt	70580
360	o0200a.lode-3.txt	85429
609	o0200a.lode-4.txt	154768
606	o0200a.lode-5.txt	110640
160	o0200a.lode-6.txt	38652
147	o0200a.lode-7.txt	31133
206	o0200a.lode-8.txt	47703
267	o0202a.lode-1.txt	61887
345	o0202a.lode-2.txt	87277
417	o0202a.lode-3.txt	105416
714	o0202a.lode-4.txt	190501
505	o0202a.lode-5.txt	126265
177	o0202a.lode-6.txt	44653
198	o0202a.lode-7.txt	45560
270	o0202a.lode-8.txt	65648
260	o0203a.lode-1.txt	57750
323	o0203a.lode-2.txt	79739
398	o0203a.lode-3.txt	102601
779	o0203a.lode-4.txt	203860
